,Год,Цена,Район,Ковид,Санкции,Ключевая ставка ЦБ РФ (%),ИПЦ (% к декабрю предыдущего года),Доллар
260,2002,41366.80988184748,114,0,0,23.0,115.1,31.7844
261,2002,23173.469387755104,13,0,0,23.0,115.1,31.7844
262,2002,21305.766772088013,91,0,0,23.0,115.1,31.7844
263,2002,27400.114975567692,119,0,0,23.0,115.1,31.7844
264,2002,20542.63565891473,58,0,0,23.0,115.1,31.7844
265,2002,25788.802363050487,20,0,0,23.0,115.1,31.7844
266,2002,25345.574582215802,54,0,0,23.0,115.1,31.7844
267,2002,20760.87728014764,78,0,0,23.0,115.1,31.7844
268,2002,22853.736089030208,22,0,0,23.0,115.1,31.7844
269,2002,25060.50497121926,79,0,0,23.0,115.1,31.7844
270,2002,23001.70068027211,30,0,0,23.0,115.1,31.7844
271,2002,24231.670097238977,36,0,0,23.0,115.1,31.7844
272,2002,30914.993705691377,28,0,0,23.0,115.1,31.7844
273,2002,18925.125561723497,11,0,0,23.0,115.1,31.7844
274,2002,51589.06134515891,102,0,0,23.0,115.1,31.7844
275,2002,26389.074842683098,40,0,0,23.0,115.1,31.7844
276,2002,23480.121233731497,103,0,0,23.0,115.1,31.7844
277,2002,27977.266856109534,72,0,0,23.0,115.1,31.7844
278,2002,20727.311280746395,57,0,0,23.0,115.1,31.7844
279,2002,33679.25833679258,106,0,0,23.0,115.1,31.7844
280,2002,23385.871001850384,77,0,0,23.0,115.1,31.7844
281,2002,28982.09718670077,39,0,0,23.0,115.1,31.7844
282,2002,22143.679105704425,53,0,0,23.0,115.1,31.7844
283,2002,49826.92307692308,4,0,0,23.0,115.1,31.7844
284,2002,24357.003075202687,17,0,0,23.0,115.1,31.7844
285,2002,20793.56422143441,37,0,0,23.0,115.1,31.7844
286,2002,25303.140736814206,92,0,0,23.0,115.1,31.7844
287,2002,32679.91407089151,115,0,0,23.0,115.1,31.7844
288,2002,19046.60566077889,118,0,0,23.0,115.1,31.7844
289,2002,25573.15133845746,65,0,0,23.0,115.1,31.7844
290,2002,23981.80523180523,74,0,0,23.0,115.1,31.7844
291,2002,24913.374913374908,21,0,0,23.0,115.1,31.7844
292,2002,34168.931843350445,124,0,0,23.0,115.1,31.7844
293,2002,23865.467239527392,56,0,0,23.0,115.1,31.7844
294,2002,22125.297383029338,93,0,0,23.0,115.1,31.7844
295,2002,25140.70298396517,126,0,0,23.0,115.1,31.7844
296,2002,24167.561761546727,125,0,0,23.0,115.1,31.7844
297,2002,24166.666666666668,68,0,0,23.0,115.1,31.7844
298,2002,24045.091009376723,87,0,0,23.0,115.1,31.7844
299,2002,20661.512027491404,27,0,0,23.0,115.1,31.7844
300,2002,41629.997485541855,109,0,0,23.0,115.1,31.7844
